#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
28,-32268750.511719,3851153.847696,0.000000,4268250.951798,4291672.231805,574437.552361,3970726.743748
29,-32152335.851563,3853699.227692,0.000000,4268250.951798,4291672.231805,-858714.679324,3970726.743748
30,-31895682.563965,3860195.609460,0.000000,4268250.951798,4291672.231805,2494445.802328,3970726.743748
31,-31759917.692383,3864122.702057,0.000000,4268250.951798,4291672.231805,-1467022.716349,3970726.743748
32,-31658254.523438,3867284.862971,0.000000,4268250.951798,4291672.231805,165224.519373,3970726.743748
33,-31641246.193359,3867832.378365,0.000000,4268250.951798,4291672.231805,1444303.095596,3970726.743748
34,-31586652.388672,3869625.553613,0.000000,4268250.951798,4291672.231805,-141116.851417,3970726.743748
35,-31404630.974609,3875997.155753,0.000000,4268250.951798,4291672.231805,1288805.290760,3970726.743748
36,-31323668.614258,3879024.929061,0.000000,4268250.951798,4291672.231805,-2009464.024434,3970726.743748
37,-31109069.597656,3887624.747096,0.000000,4268250.951798,4291672.231805,3992143.522333,3970726.743748
38,-31096783.574219,3888142.260087,0.000000,4268250.951798,4291672.231805,-2509739.598418,3970726.743748
39,-31080408.119141,3888836.254557,0.000000,4268250.951798,4291672.231805,214367.460075,3970726.743748
40,-31034770.858643,3890795.831103,0.000000,4268250.951798,4291672.231805,2547728.919685,3970726.743748
41,-30805862.807129,3901188.267851,0.000000,4268250.951798,4291672.231805,903187.358111,3970726.743748
42,-30774502.735077,3902684.948929,0.000000,4268250.951798,4291672.231805,3865675.526428,3970726.743748
43,-30771766.108398,3902816.387477,0.000000,4268250.951798,4291672.231805,1537193.287356,3970726.743748
44,-30760640.442383,3903352.119589,0.000000,4268250.951798,4291672.231805,1225981.294190,3970726.743748
45,-30648683.228516,3908865.658620,0.000000,4268250.951798,4291672.231805,-790153.505628,3970726.743748
46,-30557121.703125,3913539.957258,0.000000,4268250.951798,4291672.231805,1038418.737863,3970726.743748
47,-30499783.486328,3916542.549724,0.000000,4268250.951798,4291672.231805,-1025429.261248,3970726.743748
48,-30443653.522461,3919537.982495,0.000000,4268250.951798,4291672.231805,-107291.276472,3970726.743748
49,-30246009.308105,3930525.474378,0.000000,4268250.951798,4291672.231805,818728.956891,3970726.743748
50,-30235756.787109,3931114.064275,0.000000,4268250.951798,4291672.231805,-2739070.208873,3970726.743748
51,-30223026.280029,3931847.462645,0.000000,4268250.951798,4291672.231805,2079772.823664,3970726.743748
52,-30200161.972900,3933171.750006,0.000000,4268250.951798,4291672.231805,-2278586.373401,3970726.743748
53,-30060054.277344,3941484.985342,0.000000,4268250.951798,4291672.231805,3304463.571545,3970726.743748
54,-29953659.453125,3948024.695458,0.000000,4268250.951798,4291672.231805,181505.121781,3970726.743748
55,-29913180.967041,3950563.951372,0.000000,4268250.951798,4291672.231805,-600992.719670,3970726.743748
56,-29861982.357422,3953815.977616,0.000000,4268250.951798,4291672.231805,70351.950384,3970726.743748
57,-29811407.593750,3957072.455544,0.000000,4268250.951798,4291672.231805,1439394.158574,3970726.743748
58,-29808289.332031,3957274.669814,0.000000,4268250.951798,4291672.231805,-506988.216544,3970726.743748
59,-29792401.962891,3958307.518584,0.000000,4268250.951798,4291672.231805,1082907.458504,3970726.743748
60,-29787087.458984,3958653.979906,0.000000,4268250.951798,4291672.231805,-1244003.526441,3970726.743748
61,-29743467.504883,3961515.837109,0.000000,4268250.951798,4291672.231805,-737133.926193,3970726.743748
62,-29718443.207031,3963172.282479,0.000000,4268250.951798,4291672.231805,791905.817948,3970726.743748
63,-29694457.191406,3964769.996062,0.000000,4268250.951798,4291672.231805,-1595607.177160,3970726.743748
