#NettingSetId,Sample,PosExpNoColl,NegExpNoColl,PosExpWithColl,NegExpWithColl
CPTY_A,396,0.0000,-966652.1891,0.0000,-966652.1891
CPTY_A,397,31077.9260,-453218.4915,31077.9260,-453218.4915
CPTY_A,398,2513835.5355,-1221.1147,2513835.5355,-1221.1147
CPTY_A,399,616770.7671,-78176.5545,616770.7671,-78176.5545
CPTY_A,400,1037578.4550,-19281.2692,1037578.4550,-19281.2692
CPTY_A,401,101403.1345,-395680.7654,101403.1345,-395680.7654
CPTY_A,402,54358.5495,-597071.4030,54358.5495,-597071.4030
CPTY_A,403,330114.8220,-166552.7435,330114.8220,-166552.7435
CPTY_A,404,0.0000,-1094582.6049,0.0000,-1094582.6049
CPTY_A,405,0.0000,-943197.2024,0.0000,-943197.2024
CPTY_A,406,885712.6608,-7083.3057,885712.6608,-7083.3057
CPTY_A,407,223315.9007,-87650.2405,223315.9007,-87650.2405
CPTY_A,408,10014.5923,-404456.9421,10014.5923,-404456.9421
CPTY_A,409,360475.9832,-358418.5670,360475.9832,-358418.5670
CPTY_A,410,361820.2761,-49059.3717,361820.2761,-49059.3717
CPTY_A,411,257286.1008,-113471.2796,257286.1008,-113471.2796
CPTY_A,412,13141.7904,-734044.1919,13141.7904,-734044.1919
CPTY_A,413,152437.5579,-358459.4525,152437.5579,-358459.4525
CPTY_A,414,1889745.5879,0.0000,1889745.5879,0.0000
CPTY_A,415,588093.4208,-85412.5509,588093.4208,-85412.5509
CPTY_A,416,242738.6440,-211652.0360,242738.6440,-211652.0360
CPTY_A,417,4427.2510,-920648.4931,4427.2510,-920648.4931
CPTY_A,418,43465.2304,-365470.1403,43465.2304,-365470.1403
CPTY_A,419,446608.9756,-57147.3814,446608.9756,-57147.3814
CPTY_A,420,870.4992,-596767.0645,870.4992,-596767.0645
CPTY_A,421,74001.5254,-591160.1714,74001.5254,-591160.1714
CPTY_A,422,781327.1502,-123335.3457,781327.1502,-123335.3457
CPTY_A,423,28898.8911,-609727.3828,28898.8911,-609727.3828
CPTY_A,424,48097.5693,-306766.9966,48097.5693,-306766.9966
CPTY_A,425,297259.7869,-515786.8596,297259.7869,-515786.8596
CPTY_A,426,90595.2430,-305944.3839,90595.2430,-305944.3839
CPTY_A,427,477016.3787,-119668.1095,477016.3787,-119668.1095
CPTY_A,428,1945.4526,-791137.1749,1945.4526,-791137.1749
CPTY_A,429,24552.0045,-621479.5398,24552.0045,-621479.5398
CPTY_A,430,2707555.9043,0.0000,2707555.9043,0.0000
CPTY_A,431,506758.3619,-210495.6788,506758.3619,-210495.6788
CPTY_A,432,703795.1416,-62763.0650,703795.1416,-62763.0650
CPTY_A,433,38101.7055,-395716.3375,38101.7055,-395716.3375
