#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
47,-30326626.458984,3927265.565583,0.000000,4269377.940273,4292223.530471,-43608.631875,4043089.805071
48,-30176857.148438,3936685.504184,0.000000,4269377.940273,4292223.530471,962289.036954,4043089.805071
49,-30147857.539063,3938549.185699,0.000000,4269377.940273,4292223.530471,250460.750606,4043089.805071
50,-30104772.979492,3941341.752249,0.000000,4269377.940273,4292223.530471,-124040.389632,4043089.805071
51,-30087568.132813,3942464.806319,0.000000,4269377.940273,4292223.530471,-179599.374686,4043089.805071
52,-30047722.375854,3945083.052795,0.000000,4269377.940273,4292223.530471,2056901.200575,4043089.805071
53,-29996763.644531,3948466.673078,0.000000,4269377.940273,4292223.530471,-1764985.321279,4043089.805071
54,-29963891.202209,3950670.264782,0.000000,4269377.940273,4292223.530471,-846796.563702,4043089.805071
55,-29950059.023926,3951602.388048,0.000000,4269377.940273,4292223.530471,-2339737.712701,4043089.805071
56,-29941086.580078,3952208.570203,0.000000,4269377.940273,4292223.530471,-2628487.228601,4043089.805071
57,-29924775.599609,3953313.662582,0.000000,4269377.940273,4292223.530471,-1463435.142157,4043089.805071
58,-29809291.125000,3961252.608397,0.000000,4269377.940273,4292223.530471,730327.915321,4043089.805071
59,-29786924.698242,3962813.356078,0.000000,4269377.940273,4292223.530471,3241169.833409,4043089.805071
60,-29761596.912109,3964589.803447,0.000000,4269377.940273,4292223.530471,1496.077467,4043089.805071
61,-29629520.818604,3974008.707118,0.000000,4269377.940273,4292223.530471,-511962.481830,4043089.805071
62,-29611697.167969,3975299.684463,0.000000,4269377.940273,4292223.530471,1188558.203264,4043089.805071
63,-29453217.292480,3986985.390083,0.000000,4269377.940273,4292223.530471,188445.528603,4043089.805071
64,-29451833.028320,3987089.093911,0.000000,4269377.940273,4292223.530471,-678481.440258,4043089.805071
65,-29390610.119141,3991703.857960,0.000000,4269377.940273,4292223.530471,-426245.592094,4043089.805071
66,-29369493.085938,3993308.345601,0.000000,4269377.940273,4292223.530471,1303192.671412,4043089.805071
67,-29313869.410156,3997565.919052,0.000000,4269377.940273,4292223.530471,332144.967940,4043089.805071
68,-29264286.933594,4001399.175344,0.000000,4269377.940273,4292223.530471,-939106.999976,4043089.805071
69,-29131960.051758,4011804.427815,0.000000,4269377.940273,4292223.530471,-1787624.969099,4043089.805071
70,-29077330.138672,4016174.032959,0.000000,4269377.940273,4292223.530471,-129534.551063,4043089.805071
71,-29069588.228516,4016796.754260,0.000000,4269377.940273,4292223.530471,-2213561.427553,4043089.805071
72,-29017234.756836,4021030.433854,0.000000,4269377.940273,4292223.530471,579710.984234,4043089.805071
73,-28998684.953369,4022539.947226,0.000000,4269377.940273,4292223.530471,-291410.501842,4043089.805071
74,-28817052.670898,4037580.196494,0.000000,4269377.940273,4292223.530471,3821053.257668,4043089.805071
75,-28782550.200195,4040490.215486,0.000000,4269377.940273,4292223.530471,-130629.233563,4043089.805071
76,-28723829.714844,4045481.526865,0.000000,4269377.940273,4292223.530471,-2311002.394990,4043089.805071
77,-28705829.746094,4047021.282962,0.000000,4269377.940273,4292223.530471,-69463.542336,4043089.805071
78,-28653307.757813,4051540.172479,0.000000,4269377.940273,4292223.530471,-1391287.196504,4043089.805071
79,-28592800.113281,4056794.090099,0.000000,4269377.940273,4292223.530471,-850613.917023,4043089.805071
80,-28574019.013916,4058435.277740,0.000000,4269377.940273,4292223.530471,658021.325966,4043089.805071
81,-28497058.783203,4065211.802149,0.000000,4269377.940273,4292223.530471,1608711.686746,4043089.805071
82,-28232238.467773,4089155.658160,0.000000,4269377.940273,4292223.530471,-1256362.763710,4043089.805071
83,-28145453.439453,4097211.357249,0.000000,4269377.940273,4292223.530471,-1323206.353870,4043089.805071
84,-28114980.828125,4100064.197257,0.000000,4269377.940273,4292223.530471,1892485.096565,4043089.805071
85,-28066665.265625,4104613.241690,0.000000,4269377.940273,4292223.530471,-18443.213008,4043089.805071
86,-27992390.665649,4111667.779344,0.000000,4269377.940273,4292223.530471,495732.261208,4043089.805071
87,-27980145.177734,4112837.964853,0.000000,4269377.940273,4292223.530471,-3569073.299688,4043089.805071
88,-27885567.610352,4121943.455060,0.000000,4269377.940273,4292223.530471,363146.300009,4043089.805071
89,-27784268.121094,4131828.232390,0.000000,4269377.940273,4292223.530471,-473575.838778,4043089.805071
90,-27686792.595703,4141468.001277,0.000000,4269377.940273,4292223.530471,660974.066065,4043089.805071
91,-27648325.232422,4145306.589140,0.000000,4269377.940273,4292223.530471,-1297486.498151,4043089.805071
92,-27623757.009766,4147768.351578,0.000000,4269377.940273,4292223.530471,1741522.465081,4043089.805071
93,-27602362.434502,4149918.539355,0.000000,4269377.940273,4292223.530471,-2154359.683682,4043089.805071
94,-27500032.538818,4160285.317945,0.000000,4269377.940273,4292223.530471,-188945.922476,4043089.805071
95,-27497159.023438,4160578.389408,0.000000,4269377.940273,4292223.530471,-2938465.711060,4043089.805071
96,-27466903.135254,4163670.691877,0.000000,4269377.940273,4292223.530471,-11403.298884,4043089.805071
97,-27419080.546875,4168582.516484,0.000000,4269377.940273,4292223.530471,161111.688530,4043089.805071
98,-27233225.593750,4187950.245389,0.000000,4269377.940273,4292223.530471,-2270789.008100,4043089.805071
99,-27199051.872070,4191559.379723,0.000000,4269377.940273,4292223.530471,1673134.081237,4043089.805071
100,-27174968.289063,4194111.769338,0.000000,4269377.940273,4292223.530471,1290773.377155,4043089.805071
101,-27141435.312500,4197677.822202,0.000000,4269377.940273,4292223.530471,-2481083.302965,4043089.805071
102,-27126200.519531,4199302.648460,0.000000,4269377.940273,4292223.530471,379336.212465,4043089.805071
