#Portfolio,Sample,AsOfDate,Time,InitialMargin,Currency,SimmSide,Depth
CPTY_A,96,2024-08-05,8.497268,2357584.250000,,Call,0
CPTY_A,96,2024-11-05,8.748634,2668798.500000,,Call,0
CPTY_A,96,2025-02-05,9.000262,2226012.500000,,Call,0
CPTY_A,96,2025-05-06,9.246837,2534558.750000,,Call,0
CPTY_A,96,2025-08-05,9.496152,2663337.750000,,Call,0
CPTY_A,96,2025-11-05,9.748207,2808614.000000,,Call,0
CPTY_A,96,2026-02-05,10.000262,379476.781250,,Call,0
CPTY_A,96,2026-05-05,10.244098,368846.406250,,Call,0
CPTY_A,96,2026-08-05,10.496152,368631.031250,,Call,0
CPTY_A,96,2026-11-05,10.748207,342652.500000,,Call,0
CPTY_A,96,2027-02-05,11.000262,325509.937500,,Call,0
CPTY_A,96,2027-05-05,11.244098,301685.218750,,Call,0
CPTY_A,96,2027-08-05,11.496152,315237.531250,,Call,0
CPTY_A,96,2027-11-05,11.748207,328500.718750,,Call,0
CPTY_A,96,2028-02-07,12.005464,242675.437500,,Call,0
CPTY_A,96,2028-05-05,12.245902,268608.531250,,Call,0
CPTY_A,96,2028-08-07,12.502732,260189.937500,,Call,0
CPTY_A,96,2028-11-06,12.751366,237706.093750,,Call,0
CPTY_A,96,2029-02-05,13.000262,247453.468750,,Call,0
CPTY_A,96,2029-05-08,13.252317,237702.656250,,Call,0
CPTY_A,96,2029-08-06,13.498892,209311.281250,,Call,0
CPTY_A,96,2029-11-05,13.748207,217096.281250,,Call,0
CPTY_A,96,2030-02-05,14.000262,208058.468750,,Call,0
CPTY_A,96,2030-05-07,14.249577,177944.234375,,Call,0
CPTY_A,96,2030-08-05,14.496152,187583.421875,,Call,0
CPTY_A,96,2030-11-05,14.748207,177045.687500,,Call,0
CPTY_A,96,2031-02-05,15.000262,169167.593750,,Call,0
CPTY_A,96,2031-05-06,15.246837,52594.242188,,Call,0
CPTY_A,96,2031-08-05,15.496152,161627.484375,,Call,0
CPTY_A,96,2031-11-05,15.748207,118861.789063,,Call,0
CPTY_A,96,2032-02-05,16.000000,142891.187500,,Call,0
CPTY_A,96,2032-05-05,16.245902,102518.585938,,Call,0
CPTY_A,96,2032-08-05,16.497268,107682.359375,,Call,0
CPTY_A,96,2032-11-05,16.748634,77419.234375,,Call,0
CPTY_A,96,2033-02-07,17.005741,100357.914063,,Call,0
CPTY_A,96,2033-05-05,17.244098,83504.523438,,Call,0
CPTY_A,96,2033-08-05,17.496152,90760.929688,,Call,0
CPTY_A,96,2033-11-07,17.753687,67492.804688,,Call,0
CPTY_A,96,2034-02-06,18.003002,71061.695313,,Call,0
CPTY_A,96,2034-05-05,18.244098,54018.101563,,Call,0
CPTY_A,96,2034-08-07,18.501632,49197.113281,,Call,0
CPTY_A,96,2034-11-06,18.750947,27883.298828,,Call,0
CPTY_A,96,2035-02-05,19.000262,35387.546875,,Call,0
CPTY_A,96,2035-05-08,19.252317,14049.172852,,Call,0
CPTY_A,96,2035-08-06,19.498892,0.000000,,Call,0
CPTY_A,96,2035-11-05,19.748207,632.470459,,Call,0
CPTY_A,96,2036-02-05,20.000000,2717.210449,,Call,0
CPTY_A,96,2036-05-06,20.248634,0.000000,,Call,0
CPTY_A,96,2036-08-05,20.497268,0.000000,,Call,0
CPTY_A,96,2036-11-05,20.748634,0.000000,,Call,0
CPTY_A,96,2037-02-05,21.000262,0.000000,,Call,0
CPTY_A,96,2037-05-05,21.244098,0.000000,,Call,0
CPTY_A,96,2037-08-05,21.496152,0.000000,,Call,0
CPTY_A,96,2037-11-05,21.748207,0.000000,,Call,0
CPTY_A,96,2038-02-05,22.000262,0.000000,,Call,0
CPTY_A,97,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,97,2016-05-06,0.248634,3970055.250000,,Call,0
CPTY_A,97,2016-08-05,0.497268,3037267.000000,,Call,0
CPTY_A,97,2016-11-07,0.754098,4157790.750000,,Call,0
CPTY_A,97,2017-02-06,1.003002,4344012.500000,,Call,0
CPTY_A,97,2017-05-05,1.244098,3963321.250000,,Call,0
CPTY_A,97,2017-08-07,1.501632,3939777.500000,,Call,0
CPTY_A,97,2017-11-06,1.750947,3692712.750000,,Call,0
CPTY_A,97,2018-02-05,2.000262,4472169.500000,,Call,0
CPTY_A,97,2018-05-08,2.252317,4217447.000000,,Call,0
CPTY_A,97,2018-08-06,2.498892,4224328.000000,,Call,0
CPTY_A,97,2018-11-05,2.748207,4424040.500000,,Call,0
CPTY_A,97,2019-02-05,3.000262,5240988.000000,,Call,0
CPTY_A,97,2019-05-07,3.249577,5313513.500000,,Call,0
CPTY_A,97,2019-08-05,3.496152,6473679.500000,,Call,0
CPTY_A,97,2019-11-05,3.748207,6531769.000000,,Call,0
CPTY_A,97,2020-02-05,4.000000,5382753.000000,,Call,0
CPTY_A,97,2020-05-05,4.245902,4993322.000000,,Call,0
CPTY_A,97,2020-08-05,4.497268,4531536.500000,,Call,0
CPTY_A,97,2020-11-05,4.748634,4120408.750000,,Call,0
CPTY_A,97,2021-02-05,5.000262,4150611.750000,,Call,0
CPTY_A,97,2021-05-05,5.244098,5515477.500000,,Call,0
CPTY_A,97,2021-08-05,5.496152,5043238.500000,,Call,0
CPTY_A,97,2021-11-05,5.748207,4258864.000000,,Call,0
CPTY_A,97,2022-02-07,6.005741,5819461.000000,,Call,0
CPTY_A,97,2022-05-05,6.244098,5448861.500000,,Call,0
CPTY_A,97,2022-08-05,6.496152,5405615.500000,,Call,0
CPTY_A,97,2022-11-07,6.753687,5837360.000000,,Call,0
CPTY_A,97,2023-02-06,7.003002,5717368.500000,,Call,0
CPTY_A,97,2023-05-05,7.244098,4580595.500000,,Call,0
CPTY_A,97,2023-08-07,7.501632,5143109.000000,,Call,0
CPTY_A,97,2023-11-06,7.750947,5122732.500000,,Call,0
CPTY_A,97,2024-02-05,8.000000,5913076.000000,,Call,0
CPTY_A,97,2024-05-07,8.251366,5988151.500000,,Call,0
CPTY_A,97,2024-08-05,8.497268,5807870.500000,,Call,0
CPTY_A,97,2024-11-05,8.748634,6545807.500000,,Call,0
CPTY_A,97,2025-02-05,9.000262,6043294.500000,,Call,0
CPTY_A,97,2025-05-06,9.246837,5160574.500000,,Call,0
CPTY_A,97,2025-08-05,9.496152,5874922.500000,,Call,0
CPTY_A,97,2025-11-05,9.748207,6025390.000000,,Call,0
CPTY_A,97,2026-02-05,10.000262,343694.343750,,Call,0
CPTY_A,97,2026-05-05,10.244098,395923.375000,,Call,0
CPTY_A,97,2026-08-05,10.496152,427837.562500,,Call,0
CPTY_A,97,2026-11-05,10.748207,385722.125000,,Call,0
CPTY_A,97,2027-02-05,11.000262,204693.968750,,Call,0
CPTY_A,97,2027-05-05,11.244098,407830.375000,,Call,0
CPTY_A,97,2027-08-05,11.496152,363202.000000,,Call,0
CPTY_A,97,2027-11-05,11.748207,307607.500000,,Call,0
CPTY_A,97,2028-02-07,12.005464,315959.906250,,Call,0
CPTY_A,97,2028-05-05,12.245902,305909.906250,,Call,0
CPTY_A,97,2028-08-07,12.502732,288861.062500,,Call,0
CPTY_A,97,2028-11-06,12.751366,232799.843750,,Call,0
CPTY_A,97,2029-02-05,13.000262,247142.671875,,Call,0
CPTY_A,97,2029-05-08,13.252317,226380.859375,,Call,0
CPTY_A,97,2029-08-06,13.498892,214592.593750,,Call,0
CPTY_A,97,2029-11-05,13.748207,232730.031250,,Call,0
CPTY_A,97,2030-02-05,14.000262,231173.531250,,Call,0
CPTY_A,97,2030-05-07,14.249577,203636.046875,,Call,0
CPTY_A,97,2030-08-05,14.496152,194538.359375,,Call,0
CPTY_A,97,2030-11-05,14.748207,192277.515625,,Call,0
CPTY_A,97,2031-02-05,15.000262,189659.328125,,Call,0
CPTY_A,97,2031-05-06,15.246837,53805.265625,,Call,0
CPTY_A,97,2031-08-05,15.496152,166918.140625,,Call,0
CPTY_A,97,2031-11-05,15.748207,111740.320313,,Call,0
CPTY_A,97,2032-02-05,16.000000,136954.156250,,Call,0
CPTY_A,97,2032-05-05,16.245902,91045.453125,,Call,0
CPTY_A,97,2032-08-05,16.497268,117891.687500,,Call,0
CPTY_A,97,2032-11-05,16.748634,98133.000000,,Call,0
CPTY_A,97,2033-02-07,17.005741,103740.296875,,Call,0
CPTY_A,97,2033-05-05,17.244098,81808.835938,,Call,0
CPTY_A,97,2033-08-05,17.496152,91148.421875,,Call,0
CPTY_A,97,2033-11-07,17.753687,72420.781250,,Call,0
CPTY_A,97,2034-02-06,18.003002,69100.195313,,Call,0
CPTY_A,97,2034-05-05,18.244098,46837.152344,,Call,0
CPTY_A,97,2034-08-07,18.501632,47699.820313,,Call,0
CPTY_A,97,2034-11-06,18.750947,23649.541016,,Call,0
CPTY_A,97,2035-02-05,19.000262,33894.750000,,Call,0
CPTY_A,97,2035-05-08,19.252317,16557.857422,,Call,0
CPTY_A,97,2035-08-06,19.498892,3471.381104,,Call,0
CPTY_A,97,2035-11-05,19.748207,1222.233032,,Call,0
CPTY_A,97,2036-02-05,20.000000,2211.167480,,Call,0
CPTY_A,97,2036-05-06,20.248634,0.000000,,Call,0
CPTY_A,97,2036-08-05,20.497268,0.000000,,Call,0
CPTY_A,97,2036-11-05,20.748634,0.000000,,Call,0
CPTY_A,97,2037-02-05,21.000262,0.000000,,Call,0
CPTY_A,97,2037-05-05,21.244098,0.000000,,Call,0
CPTY_A,97,2037-08-05,21.496152,0.000000,,Call,0
CPTY_A,97,2037-11-05,21.748207,0.000000,,Call,0
CPTY_A,97,2038-02-05,22.000262,0.000000,,Call,0
CPTY_A,98,2016-02-05,0.000000,0.000000,,Call,0
CPTY_A,98,2016-05-06,0.248634,3878690.000000,,Call,0
CPTY_A,98,2016-08-05,0.497268,4164936.000000,,Call,0
