#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
96,51604.183594,6598.000929,0.000000,6335.175938,6340.801795,-1599.247724,6390.479803
97,51636.789063,6599.423931,0.000000,6335.175938,6340.801795,5969.325885,6390.479803
98,51672.328125,6600.967728,0.000000,6335.175938,6340.801795,-6.709778,6390.479803
99,51740.882813,6603.924402,0.000000,6335.175938,6340.801795,-1000.428383,6390.479803
100,52118.750000,6619.719304,0.000000,6335.175938,6340.801795,-2663.933664,6390.479803
101,52140.511719,6620.603143,0.000000,6335.175938,6340.801795,-6325.986071,6390.479803
102,52203.371094,6623.140399,0.000000,6335.175938,6340.801795,3911.208015,6390.479803
103,52261.636719,6625.471370,0.000000,6335.175938,6340.801795,-1592.057369,6390.479803
104,52457.785156,6633.171236,0.000000,6335.175938,6340.801795,2558.192436,6390.479803
105,52516.875000,6635.446409,0.000000,6335.175938,6340.801795,-1567.639009,6390.479803
106,52524.281250,6635.730129,0.000000,6335.175938,6340.801795,2213.415163,6390.479803
107,52907.425781,6649.968785,0.000000,6335.175938,6340.801795,-4307.742286,6390.479803
108,53086.710938,6656.336680,0.000000,6335.175938,6340.801795,1777.179270,6390.479803
109,53119.714844,6657.488503,0.000000,6335.175938,6340.801795,297.270470,6390.479803
110,53352.207031,6665.422916,0.000000,6335.175938,6340.801795,-1740.719717,6390.479803
111,53594.375000,6673.354191,0.000000,6335.175938,6340.801795,-1720.893338,6390.479803
112,53889.695313,6682.567675,0.000000,6335.175938,6340.801795,5886.500734,6390.479803
113,53982.820313,6685.368813,0.000000,6335.175938,6340.801795,3267.287349,6390.479803
114,54115.097656,6689.261946,0.000000,6335.175938,6340.801795,-5222.563497,6390.479803
115,54211.273438,6692.029500,0.000000,6335.175938,6340.801795,-2703.233941,6390.479803
116,54246.539063,6693.031017,0.000000,6335.175938,6340.801795,-3283.057493,6390.479803
117,54259.300781,6693.391684,0.000000,6335.175938,6340.801795,1743.880554,6390.479803
118,54293.882813,6694.364341,0.000000,6335.175938,6340.801795,-995.432384,6390.479803
119,54622.921875,6703.276829,0.000000,6335.175938,6340.801795,2757.222740,6390.479803
120,54635.218750,6703.597924,0.000000,6335.175938,6340.801795,3322.899436,6390.479803
121,54657.410156,6704.175203,0.000000,6335.175938,6340.801795,-2158.765051,6390.479803
122,54972.671875,6712.073430,0.000000,6335.175938,6340.801795,-5533.501307,6390.479803
123,55051.484375,6713.959630,0.000000,6335.175938,6340.801795,3074.762933,6390.479803
124,55301.601563,6719.712302,0.000000,6335.175938,6340.801795,766.930329,6390.479803
125,55480.351563,6723.606504,0.000000,6335.175938,6340.801795,-2197.287300,6390.479803
126,55545.382813,6724.978448,0.000000,6335.175938,6340.801795,-7034.754014,6390.479803
127,55556.382813,6725.208150,0.000000,6335.175938,6340.801795,-2635.047719,6390.479803
128,55698.792969,6728.120294,0.000000,6335.175938,6340.801795,-1566.422985,6390.479803
129,55818.199219,6730.473871,0.000000,6335.175938,6340.801795,-3009.096633,6390.479803
130,55860.718750,6731.292561,0.000000,6335.175938,6340.801795,3427.073000,6390.479803
131,55906.652344,6732.165546,0.000000,6335.175938,6340.801795,-666.811340,6390.479803
132,56120.140625,6736.067156,0.000000,6335.175938,6340.801795,-260.470558,6390.479803
133,56166.960938,6736.888561,0.000000,6335.175938,6340.801795,-4190.749146,6390.479803
134,56328.378906,6739.626055,0.000000,6335.175938,6340.801795,-815.403377,6390.479803
135,56341.070313,6739.835088,0.000000,6335.175938,6340.801795,-631.827587,6390.479803
136,56463.042969,6741.797966,0.000000,6335.175938,6340.801795,-335.250349,6390.479803
137,56629.933594,6744.348600,0.000000,6335.175938,6340.801795,-5612.875310,6390.479803
138,56817.289063,6747.026208,0.000000,6335.175938,6340.801795,-1768.509179,6390.479803
139,56831.644531,6747.223271,0.000000,6335.175938,6340.801795,-2046.255288,6390.479803
140,56936.378906,6748.626132,0.000000,6335.175938,6340.801795,-2194.831879,6390.479803
141,57004.921875,6749.511040,0.000000,6335.175938,6340.801795,3838.247382,6390.479803
142,57007.750000,6749.546988,0.000000,6335.175938,6340.801795,662.608586,6390.479803
143,57304.859375,6753.074751,0.000000,6335.175938,6340.801795,2986.159573,6390.479803
144,57366.570313,6753.745709,0.000000,6335.175938,6340.801795,-1727.958998,6390.479803
