#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
1575,-24330200.408691,7869955.777838,0.000000,8006975.878423,8238989.020262,-1027851.135145,11138628.005967
1576,-24327987.169922,7870854.465420,0.000000,8006975.878423,8238989.020262,1885748.905522,11138628.005967
1577,-24298278.648438,7882954.185730,0.000000,8006975.878423,8238989.020262,2680409.411376,11138628.005967
1578,-24293852.302734,7884762.764886,0.000000,8006975.878423,8238989.020262,1509243.481578,11138628.005967
1579,-24287355.340820,7887420.109990,0.000000,8006975.878423,8238989.020262,2047170.297561,11138628.005967
1580,-24286279.636719,7887860.399981,0.000000,8006975.878423,8238989.020262,-2396135.695182,11138628.005967
1581,-24284435.308594,7888615.497356,0.000000,8006975.878423,8238989.020262,7469600.630133,11138628.005967
1582,-24275684.820313,7892201.639592,0.000000,8006975.878423,8238989.020262,2993772.084052,11138628.005967
1583,-24274253.738281,7892788.686432,0.000000,8006975.878423,8238989.020262,-5562069.365951,11138628.005967
1584,-24250520.895508,7902547.010948,0.000000,8006975.878423,8238989.020262,254817.979017,11138628.005967
1585,-24245723.869141,7904524.646557,0.000000,8006975.878423,8238989.020262,382265.971879,11138628.005967
1586,-24230256.527344,7910913.192633,0.000000,8006975.878423,8238989.020262,-1329985.829689,11138628.005967
1587,-24226052.960938,7912652.555534,0.000000,8006975.878423,8238989.020262,-48729.033517,11138628.005967
1588,-24213155.868164,7917997.522785,0.000000,8006975.878423,8238989.020262,-1664422.135482,11138628.005967
1589,-24209757.937500,7919407.833827,0.000000,8006975.878423,8238989.020262,4367498.628486,11138628.005967
1590,-24188851.863892,7928104.132685,0.000000,8006975.878423,8238989.020262,3376077.091258,11138628.005967
1591,-24174927.460938,7933914.588170,0.000000,8006975.878423,8238989.020262,-1403342.298075,11138628.005967
1592,-24148522.611328,7944973.056367,0.000000,8006975.878423,8238989.020262,2892221.881773,11138628.005967
1593,-24141592.695313,7947884.013151,0.000000,8006975.878423,8238989.020262,1578397.492679,11138628.005967
1594,-24114986.054443,7959093.718378,0.000000,8006975.878423,8238989.020262,-875729.036832,11138628.005967
1595,-24109606.636719,7961366.562794,0.000000,8006975.878423,8238989.020262,-5091053.003510,11138628.005967
1596,-24098591.175781,7966027.410735,0.000000,8006975.878423,8238989.020262,-4400489.322216,11138628.005967
1597,-24088346.027344,7970370.434098,0.000000,8006975.878423,8238989.020262,2497679.096241,11138628.005967
1598,-24088158.824219,7970449.864043,0.000000,8006975.878423,8238989.020262,-2667187.346956,11138628.005967
1599,-24082575.560547,7972820.029717,0.000000,8006975.878423,8238989.020262,818837.020217,11138628.005967
1600,-24073727.727539,7976580.786491,0.000000,8006975.878423,8238989.020262,-8014965.720194,11138628.005967
1601,-24070022.005859,7978157.622770,0.000000,8006975.878423,8238989.020262,3511259.307955,11138628.005967
1602,-24065360.148438,7980142.753634,0.000000,8006975.878423,8238989.020262,1780173.851850,11138628.005967
1603,-24063305.566406,7981018.155076,0.000000,8006975.878423,8238989.020262,-1774442.444563,11138628.005967
1604,-24054640.753906,7984713.432731,0.000000,8006975.878423,8238989.020262,-4915424.372077,11138628.005967
1605,-24054071.852783,7984956.245941,0.000000,8006975.878423,8238989.020262,1543841.763730,11138628.005967
1606,-24053091.582031,7985374.692329,0.000000,8006975.878423,8238989.020262,647173.708763,11138628.005967
1607,-24046614.163086,7988141.481092,0.000000,8006975.878423,8238989.020262,395600.734920,11138628.005967
1608,-24046021.472656,7988394.799835,0.000000,8006975.878423,8238989.020262,-1254568.013151,11138628.005967
1609,-24021848.445313,7998748.539985,0.000000,8006975.878423,8238989.020262,-445154.524415,11138628.005967
1610,-24009316.667236,8004133.049658,0.000000,8006975.878423,8238989.020262,-352432.557853,11138628.005967
1611,-23990396.364258,8012284.337769,0.000000,8006975.878423,8238989.020262,3189254.693701,11138628.005967
1612,-23988904.406250,8012928.221770,0.000000,8006975.878423,8238989.020262,88897.893509,11138628.005967
1613,-23987629.371094,8013478.617469,0.000000,8006975.878423,8238989.020262,-847418.840650,11138628.005967
1614,-23942452.628906,8033056.668480,0.000000,8006975.878423,8238989.020262,313646.835328,11138628.005967
1615,-23941228.157471,8033589.379952,0.000000,8006975.878423,8238989.020262,1526341.111872,11138628.005967
1616,-23929770.148438,8038579.506634,0.000000,8006975.878423,8238989.020262,1843432.319463,11138628.005967
1617,-23926519.435547,8039996.971535,0.000000,8006975.878423,8238989.020262,4362469.403341,11138628.005967
1618,-23889641.129883,8056131.148532,0.000000,8006975.878423,8238989.020262,-976494.740349,11138628.005967
1619,-23884692.873047,8058303.462097,0.000000,8006975.878423,8238989.020262,-1851450.555553,11138628.005967
1620,-23873672.442383,8063147.822042,0.000000,8006975.878423,8238989.020262,2817418.544004,11138628.005967
1621,-23856392.990234,8070761.070497,0.000000,8006975.878423,8238989.020262,-450876.623121,11138628.005967
1622,-23854387.942383,8071645.870790,0.000000,8006975.878423,8238989.020262,306842.349865,11138628.005967
1623,-23853549.966309,8072015.743470,0.000000,8006975.878423,8238989.020262,-1514694.260901,11138628.005967
1624,-23826446.154297,8084006.102222,0.000000,8006975.878423,8238989.020262,1219576.153685,11138628.005967
1625,-23824674.384033,8084791.734282,0.000000,8006975.878423,8238989.020262,2004603.718291,11138628.005967
1626,-23820812.667969,8086504.857281,0.000000,8006975.878423,8238989.020262,-218649.465997,11138628.005967
