#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
176,-32789117.019531,7916874.449251,0.000000,7960993.842271,8187161.879957,2044279.666978,11049379.189569
177,-32760719.593750,7904978.602893,0.000000,7960993.842271,8187161.879957,-2064592.757192,11049379.189569
178,-32742849.203125,7897523.409266,0.000000,7960993.842271,8187161.879957,-1171335.231822,11049379.189569
179,-32719287.183594,7887730.293863,0.000000,7960993.842271,8187161.879957,-5368212.321221,11049379.189569
180,-32705441.671875,7881995.095793,0.000000,7960993.842271,8187161.879957,-2070424.944273,11049379.189569
181,-32700458.781250,7879934.570947,0.000000,7960993.842271,8187161.879957,-305811.398383,11049379.189569
182,-32664998.523438,7865325.124785,0.000000,7960993.842271,8187161.879957,724787.223118,11049379.189569
183,-32650908.835938,7859546.646411,0.000000,7960993.842271,8187161.879957,2783199.132936,11049379.189569
184,-32638439.507813,7854445.276040,0.000000,7960993.842271,8187161.879957,2593558.099105,11049379.189569
185,-32625790.902344,7849282.639031,0.000000,7960993.842271,8187161.879957,-2672701.723253,11049379.189569
186,-32621307.753906,7847455.727807,0.000000,7960993.842271,8187161.879957,1837021.829905,11049379.189569
187,-32614139.679688,7844537.876351,0.000000,7960993.842271,8187161.879957,-3370514.580398,11049379.189569
188,-32609014.722656,7842454.104403,0.000000,7960993.842271,8187161.879957,-3304828.114686,11049379.189569
189,-32600454.290527,7838977.967105,0.000000,7960993.842271,8187161.879957,2822000.955053,11049379.189569
190,-32590371.181641,7834890.705424,0.000000,7960993.842271,8187161.879957,735109.352856,11049379.189569
191,-32559728.695313,7822517.398932,0.000000,7960993.842271,8187161.879957,606046.718180,11049379.189569
192,-32558328.515625,7821953.736282,0.000000,7960993.842271,8187161.879957,16017072.047058,11049379.189569
193,-32531996.199219,7811381.425472,0.000000,7960993.842271,8187161.879957,554145.486654,11049379.189569
194,-32529462.406250,7810366.941918,0.000000,7960993.842271,8187161.879957,-44075.069765,11049379.189569
195,-32528741.175781,7810078.265418,0.000000,7960993.842271,8187161.879957,-4672579.198934,11049379.189569
196,-32519384.925781,7806337.021909,0.000000,7960993.842271,8187161.879957,1573133.697679,11049379.189569
