Mon Mar 23 20:21:39 2026    /tmp/usd_sofr_basis.prof

         2282331 function calls (2264917 primitive calls) in 7.626 seconds

   Ordered by: cumulative time
   List reduced from 6043 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.040    0.040 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/arrays/arrow/accessors.py:1(<module>)
        1    0.000    0.000    0.040    0.040 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pyarrow/compute.py:1(<module>)
      128    0.001    0.000    0.039    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:470(add_fns_to_class)
     2676    0.001    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_abc.py:442(exists)
        1    0.000    0.000    0.037    0.037 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:1(<module>)
     6758    0.002    0.000    0.036    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_local.py:166(__fspath__)
     2677    0.001    0.000    0.036    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_local.py:510(stat)
        1    0.000    0.000    0.035    0.035 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/compat/pyarrow.py:1(<module>)


