Mon Mar 23 20:21:34 2026    /tmp/usd_basis.prof

         1310957 function calls (1293575 primitive calls) in 1.962 seconds

   Ordered by: cumulative time
   List reduced from 6044 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.041    0.041 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/arrays/arrow/accessors.py:1(<module>)
        1    0.000    0.000    0.040    0.040 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pyarrow/compute.py:1(<module>)
      128    0.001    0.000    0.039    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/dataclasses.py:470(add_fns_to_class)
        1    0.000    0.000    0.038    0.038 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:1(<module>)
     2674    0.001    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_abc.py:442(exists)
        1    0.000    0.000    0.037    0.037 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/compat/pyarrow.py:1(<module>)
     6756    0.002    0.000    0.036    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_local.py:166(__fspath__)
        1    0.000    0.000    0.036    0.036 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pyarrow/__init__.py:1(<module>)
    26686    0.007    0.000    0.035    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:241(split)
     2675    0.001    0.000    0.035    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_local.py:510(stat)
     7710    0.005    0.000    0.035    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_local.py:227(__str__)
        1    0.000    0.000    0.031    0.031 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pyarrow/compute.py:312(_make_global_functions)


