leg,pay_date,obs_date,obs_time_model,obs_time_report,xva_state_at_obs,ore_flow_leg,ore_flow_pay_date,ore_flow_pay_time_model,ore_flow_pay_time_report,ore_flow_start_date,ore_flow_end_date,ore_flow_fixing_date,ore_flow_accrual,ore_flow_coupon,ore_flow_notional,ore_flow_sign,ore_flow_amount,py_portfolio_pay_date,py_portfolio_pay_time_model,py_portfolio_pay_time_report,py_portfolio_start_date,py_portfolio_end_date,py_portfolio_fixing_date,py_portfolio_accrual,py_portfolio_coupon,py_portfolio_notional,py_portfolio_sign,py_portfolio_amount,py_active_pay_date,py_active_pay_time_model,py_active_pay_time_report,py_active_start_date,py_active_end_date,py_active_fixing_date,py_active_accrual,py_active_coupon,py_active_notional,py_active_sign,py_active_amount,diff_portfolio_vs_ore_amount,diff_active_vs_ore_amount,diff_active_vs_portfolio_amount
float,2016-08-31,2016-03-07,0.0849315068,0.0846994536,fixed_alive,,,,,,,,,,,,,2016-08-31,0.5710382513661202,0.5683060109289617,2016-03-01,2016-08-31,2016-02-26,0.5111111111111111,0.0,10000000.0,-1.0,0.0,2016-08-31,0.5710382513661202,0.5683060109289617,2016-03-01,2016-08-31,2016-03-01,0.5111111111,0.01993416,10000000.0,-1.0,-101885.7067,,,-101885.7067
float,2016-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2016-09-01,0.5726027397260274,0.5710382513661202,2016-03-01,2016-09-01,2016-03-01,0.5111111111,0.01993416,10000000.0,-1.0,-101885.7067,,,,,,,,,,,,,,,,,,,,,,,,,
float,2017-02-28,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2017-02-28,1.066015420315892,1.0632756942884947,2016-08-31,2017-02-28,2016-08-29,0.5027777777777778,0.0,10000000.0,-1.0,0.0,2017-02-28,1.066015420315892,1.0632756942884947,2016-08-31,2017-02-28,2016-08-31,0.5027777778,0.019464018,10000000.0,-1.0,-97860.7573,,,-97860.7573
float,2017-03-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2017-03-01,1.0684931506849316,1.066015420315892,2016-09-01,2017-03-01,2016-09-01,0.5027777778,0.019464018,10000000.0,-1.0,-97860.7573,,,,,,,,,,,,,,,,,,,,,,,,,
float,2017-08-31,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2017-08-31,1.5701250093569878,1.5673852833295907,2017-02-28,2017-08-31,2017-02-26,0.5111111111111111,0.0,10000000.0,-1.0,0.0,2017-08-31,1.5701250093569878,1.5673852833295907,2017-02-28,2017-08-31,2017-02-28,0.5111111111,0.0194655915,10000000.0,-1.0,-99490.8011,,,-99490.8011
float,2017-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2017-09-01,1.5726027397260274,1.5701250093569878,2017-03-01,2017-09-01,2017-03-01,0.5111111111,0.0194655915,10000000.0,-1.0,-99490.8011,,,,,,,,,,,,,,,,,,,,,,,,,
float,2018-02-28,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2018-02-28,2.066015420315892,2.0632756942884947,2017-08-31,2018-02-28,2017-08-29,0.5027777777777778,0.0,10000000.0,-1.0,0.0,2018-02-28,2.066015420315892,2.0632756942884947,2017-08-31,2018-02-28,2017-08-31,0.5027777778,0.0194819864,10000000.0,-1.0,-97951.0984,,,-97951.0984
float,2018-03-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2018-03-01,2.0684931506849313,2.066015420315892,2017-09-01,2018-03-01,2017-09-01,0.5027777778,0.0194819864,10000000.0,-1.0,-97951.0984,,,,,,,,,,,,,,,,,,,,,,,,,
float,2018-09-02,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2018-09-02,2.5756044614117823,2.572864735384385,2018-02-28,2018-09-02,2018-02-26,0.5166666666666667,0.0,10000000.0,-1.0,0.0,2018-09-02,2.5756044614117823,2.572864735384385,2018-02-28,2018-09-02,2018-02-28,0.5166666667,0.0196293044,10000000.0,-1.0,-101418.0728,,,-101418.0728
float,2018-09-03,2016-03-07,0.0849315068,0.0846994536,dead,float,2018-09-03,2.578082191780822,2.5756044614117823,2018-03-01,2018-09-03,2018-03-01,0.5166666667,0.0196293044,10000000.0,-1.0,-101418.0728,,,,,,,,,,,,,,,,,,,,,,,,,
float,2019-02-28,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2019-02-28,3.066015420315892,3.0632756942884947,2018-09-02,2019-02-28,2018-08-29,0.49722222222222223,0.0,10000000.0,-1.0,0.0,2019-02-28,3.066015420315892,3.0632756942884947,2018-09-02,2019-02-28,2018-09-02,0.4972222222,0.0196255088,10000000.0,-1.0,-97582.391,,,-97582.391
float,2019-03-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2019-03-01,3.0684931506849313,3.066015420315892,2018-09-03,2019-03-01,2018-09-03,0.4972222222,0.0196255088,10000000.0,-1.0,-97582.391,,,,,,,,,,,,,,,,,,,,,,,,,
float,2019-09-01,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2019-09-01,3.572864735384385,3.570125009356988,2019-02-28,2019-09-01,2019-02-26,0.5138888888888888,0.0,10000000.0,-1.0,0.0,2019-09-01,3.572864735384385,3.570125009356988,2019-02-28,2019-09-01,2019-02-28,0.5138888889,0.0196281483,10000000.0,-1.0,-100866.8732,,,-100866.8732
